,2012,2011,2010,2009,2008,2007,2006,2005,2004
beijing,93849.39,97883.33,115050,118793.86,123000,151661.15,176000,190000,191000
tianjin,224521.4,230900,235150,236699.81,240000,244700,255000,265000,227000
hebei,1341201.15,1412128.73,1233780,1253463.29,1345000,1492479.99,1545000,1495000,1428000
shanxi,1301755,1399051.29,1249201,1268427.69,1308000,1386724.44,1478000,1516000,1415000
neimenggu,1384928.33,1409404.33,1394100,1398803.38,1431000,1455800.49,1557000,1456000,1179000
liaoning,1058712.3,1126169.82,1022207,1051419.47,1131000,1233842.85,1259000,1197000,831000
jilin,403482.25,413190.52,356310,363005.24,378000,398977.41,409000,383000,285000
heilongjiang,514299.73,521896.19,490164,490383.48,506000,515368.72,518000,508000,373000
shanghai,228218.29,240101.5,358100,378907.51,446000,497818.19,508000,513000,474000
jiangsu,991966.79,1053799.74,1050488,1074154.54,1130000,1218055.77,1304000,1373000,1240000
zhejiang,625766.42,662048.27,678342,701329.51,741000,797026.56,859000,860000,814000
anhui,519589.35,529473.84,532076,538423.97,556000,571701.04,584000,571000,490000
fuijian,371251.34,389174.59,409051,419656.35,429000,445657.8,469000,461000,326000
jiangxi,567687.21,584061.27,557072,564221.98,583000,620989.33,634000,613000,519000
shandong,1748806.99,1827397.2,1537818,1590301.46,1692000,1822149.93,1962000,2002000,1821000
henan,1275909.33,1370504.08,1338701,1355000.51,1452000,1563900.41,1624000,1624000,1256000
hubei,622367.29,665640.29,632582,643761.33,670000,707574.78,760000,718000,692000
hunan,644959.47,685529.58,801311,811501.55,840000,904289.1,934000,919000,873000
guangdong,799223.24,847727.6,1050508,1070488.15,1136000,1203019.16,1267000,1294000,1148000
guangxi,504123.33,521022.51,903826,890494.78,925000,973844.04,994000,1024000,944000
hainan,34136.86,32572.39,28810,22031.2,22000,25599.7,24000,22000,23000
chongqin,564776.63,586929.07,719404,746091.62,782000,826200.13,860000,837000,795000
sichuan,864440.44,902006.3,1130952,1135299.13,1148000,1178749.69,1281000,1300000,1265000
guizhou,1041086.62,1104284,1148830,1175494.19,1236000,1375072.97,1465000,1358000,1315000
yunnan,672215.92,691225.79,500702,499306.78,502000,533700,551000,522000,478000
xizang,4184.66,4175.73,3857,1660,2000,1890.8,2000,2000,1000
shanxi,843755.44,916838.68,778649,804407.63,889000,927208.82,981000,922000,818000
gansu,572489.4,623902.18,551785,500305.71,502000,523249.99,546000,563000,484000
qinghai,153853.33,156602.1,143431,135698.26,135000,133922.77,130000,124000,73000
ningxia,406633.25,410385.49,310752,314245.07,348000,369775.67,383000,342000,293000
xinjiang,796128.41,763055.29,588487,589900.05,585000,579936.79,549000,519000,481000
